,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
0,1,Marianne Aamot Linaker,no NOR,DF,Medkila,34.0,1982.0,4,4,359,4.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
1,2,Meryll Abrahamsen,no NOR,DF,Avaldsnes,19.0,1997.0,17,11,945,10.5,1,,1,0,0,4,0,0.1,,,0.1,,Matches
2,3,Julie Adserø,no NOR,MF,Trondheims-Ørn,25.0,1991.0,9,9,791,8.8,5,,5,0,0,1,0,0.57,,,0.57,,Matches
3,4,Ine Agnethe Aarskog,no NOR,DF,Klepp,17.0,2000.0,3,1,165,1.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
4,5,Teigen Allen,au AUS,DF,Vålerenga,22.0,1994.0,4,3,266,3.0,0,,0,0,0,1,1,0.0,,,0.0,,Matches
5,6,Silje Almström Franzén,no NOR,DF,Trondheims-Ørn,18.0,1998.0,2,0,29,0.3,0,,0,0,0,0,0,0.0,,,0.0,,Matches
6,7,Ingrid Altermark,no NOR,FW,Arna-Bjørnar,20.0,1996.0,11,7,528,5.9,2,,2,0,0,0,0,0.34,,,0.34,,Matches
7,8,Jacqueline Altschuld,no NOR,FW,Medkila,21.0,1995.0,10,10,900,10.0,1,,1,0,0,0,0,0.1,,,0.1,,Matches
8,9,Kristine Amundsen,no NOR,MF,Medkila,,,2,0,17,0.2,0,,0,0,0,0,1,0.0,,,0.0,,Matches
9,10,Andréia Rosa de Andrade,br BRA,DF,Avaldsnes,32.0,1984.0,20,20,1784,19.8,1,,1,0,0,3,0,0.05,,,0.05,,Matches
10,11,Cesilie Andreassen,no NOR,MF,Trondheims-Ørn,20.0,1996.0,20,18,1568,17.4,4,,4,0,0,1,0,0.23,,,0.23,,Matches
11,12,Marie Andresen,no NOR,MF,Klepp,16.0,2000.0,8,4,340,3.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
12,13,Emily Armstrong,no NOR,GK,Medkila,23.0,1993.0,10,10,900,10.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
13,14,Therese Åsland,no NOR,FW,Røa,21.0,1995.0,22,22,1965,21.8,3,,3,0,0,1,0,0.14,,,0.14,,Matches
14,15,Isabell Bachor,de GER,FW,LSK Kvinner,33.0,1983.0,21,21,1851,20.6,2,,2,0,0,3,0,0.1,,,0.1,,Matches
15,16,Hannah Bacon,au AUS,DF,Trondheims-Ørn,18.0,1998.0,8,2,245,2.7,0,,0,0,0,0,0,0.0,,,0.0,,Matches
16,17,Karoline Bakke,no NOR,MF,Sandviken,26.0,1991.0,20,18,1693,18.8,0,,0,0,0,2,0,0.0,,,0.0,,Matches
17,18,Maiken Bakke,no NOR,FW,Grand Bodø,18.0,1998.0,15,6,663,7.4,1,,1,0,0,0,0,0.14,,,0.14,,Matches
18,19,Marte Berget,no NOR,FW,LSK Kvinner,28.0,1988.0,19,8,804,8.9,10,,10,0,0,1,0,1.12,,,1.12,,Matches
19,20,Michelle Betos,us USA,GK,Vålerenga,28.0,1988.0,20,20,1765,19.6,0,,0,0,0,0,1,0.0,,,0.0,,Matches
20,21,Tone Bettina Pirisi,no NOR,FW,Kolbotn,18.0,1999.0,16,10,929,10.3,0,,0,0,0,0,0,0.0,,,0.0,,Matches
21,22,Anne-Marthe Birkeland,no NOR,FW,Grand Bodø,23.0,1993.0,22,21,1804,20.0,11,,11,0,0,0,0,0.55,,,0.55,,Matches
22,23,Melissa Bjånesøy,no NOR,FW,Stabæk,24.0,1992.0,21,21,1855,20.6,11,,11,0,0,0,0,0.53,,,0.53,,Matches
23,24,Thea Bjelde,no NOR,MF,Arna-Bjørnar,16.0,2000.0,8,2,223,2.5,1,,1,0,0,0,0,0.4,,,0.4,,Matches
24,25,Silje Bjørneboe,no NOR,DF,Stabæk,16.0,2000.0,2,0,46,0.5,0,,0,0,0,1,0,0.0,,,0.0,,Matches
25,26,Silje Blakstad,no NOR,MF,LSK Kvinner,26.0,1990.0,13,6,589,6.5,2,,2,0,0,0,0,0.31,,,0.31,,Matches
26,27,Oda Bogstad,no NOR,GK,Klepp,20.0,1996.0,22,22,1980,22.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
27,28,Emilie Bragstad,no NOR,MF,Trondheims-Ørn,15.0,2001.0,1,0,2,0.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
28,29,Marit Bratberg Lund,no NOR,DF,Kolbotn,19.0,1997.0,14,12,1112,12.4,1,,1,0,0,4,0,0.08,,,0.08,,Matches
29,30,Vilde Bratland,no NOR,DF,Røa,18.0,1998.0,9,5,508,5.6,0,,0,0,0,0,0,0.0,,,0.0,,Matches
30,31,Malin Brenn,no NOR,DF,LSK Kvinner,17.0,1999.0,19,19,1677,18.6,0,,0,0,0,0,0,0.0,,,0.0,,Matches
31,32,Maria Brochmann,no NOR,MF,Arna-Bjørnar,23.0,1993.0,17,13,1206,13.4,2,,2,0,0,2,0,0.15,,,0.15,,Matches
32,33,Marije Brummel,nl NED,"DF,MF",Sandviken,31.0,1985.0,20,20,1793,19.9,2,,2,0,0,3,0,0.1,,,0.1,,Matches
33,34,Christina Burkenroad,us USA,MF,Grand Bodø,23.0,1993.0,10,9,698,7.8,1,,1,0,0,0,0,0.13,,,0.13,,Matches
34,35,Tameka Butt,au AUS,MF,Klepp,25.0,1991.0,19,19,1676,18.6,14,,14,0,0,2,1,0.75,,,0.75,,Matches
35,36,Miriam Byberg,no NOR,MF,Klepp,18.0,1998.0,2,0,3,0.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
36,37,Nora Byom-Nilssen,no NOR,DF,Røa,22.0,1994.0,22,22,1973,21.9,3,,3,0,0,1,0,0.14,,,0.14,,Matches
37,38,Camilla Christensen,no NOR,MF,Vålerenga,25.0,1991.0,1,0,4,0.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
38,39,Marit Clausen,no NOR,DF,Trondheims-Ørn,20.0,1996.0,10,9,866,9.6,1,,1,0,0,2,0,0.1,,,0.1,,Matches
39,40,Anya de Courcy,no NOR,FW,Trondheims-Ørn,19.0,1997.0,7,1,128,1.4,1,,1,0,0,1,0,0.7,,,0.7,,Matches
40,41,Hanna Dahl,no NOR,MF,Avaldsnes,21.0,1995.0,20,10,980,10.9,2,,2,0,0,0,0,0.18,,,0.18,,Matches
41,42,Daiane,br BRA,DF,Avaldsnes,19.0,1997.0,18,18,1547,17.2,1,,1,0,0,4,1,0.06,,,0.06,,Matches
42,43,Tina Dalgård,no NOR,DF,Vålerenga,22.0,1994.0,17,15,1335,14.8,0,,0,0,0,1,0,0.0,,,0.0,,Matches
43,44,Cathrine Dekkerhus,no NOR,MF,Stabæk,24.0,1992.0,2,0,13,0.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
44,45,Line Dverseth Danielsen,no NOR,MF,Grand Bodø,28.0,1988.0,20,15,1422,15.8,1,,0,1,1,0,0,0.06,,,0.0,,Matches
45,46,Sigrun Dybvik,no NOR,DF,Medkila,24.0,1992.0,19,19,1529,17.0,0,,0,0,0,1,0,0.0,,,0.0,,Matches
46,47,Camilla Dyhring Hansen,no NOR,MF,Medkila,15.0,2001.0,3,0,34,0.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
47,48,Siw Døvle,no NOR,FW,Trondheims-Ørn,18.0,1998.0,10,8,763,8.5,0,,0,0,0,0,0,0.0,,,0.0,,Matches
48,49,Siw Døvle,no NOR,FW,Kolbotn,18.0,1998.0,10,10,847,9.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
49,50,Vile Edvardsen,no NOR,DF,Grand Bodø,21.0,1995.0,3,0,85,0.9,0,,0,0,0,0,0,0.0,,,0.0,,Matches
50,51,Oda Eide Arnesen,no NOR,DF,Avaldsnes,16.0,2000.0,3,0,38,0.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
51,52,Nora Eide Lie,no NOR,MF,Kolbotn,19.0,1997.0,13,10,974,10.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
52,53,Åsne Eide,no NOR,DF,Trondheims-Ørn,22.0,1994.0,7,7,616,6.8,0,,0,0,0,0,0,0.0,,,0.0,,Matches
