,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Sat,2018-03-24,14:00,Sandviken,0–1,Kolbotn,353.0,Stemmemyren kunstgressbane,Vebjørn Haugland,Match Report,
1,1.0,Sat,2018-03-24,15:00,Klepp,1–2,Arna-Bjørnar,258.0,Klepp Stadion,Mischa Kellerhals,Match Report,
2,1.0,Sat,2018-03-24,15:00,Grand Bodø,2–1,Trondheims-Ørn,225.0,Nordlandshallen,Martin Berg,Match Report,
3,1.0,Sat,2018-03-24,15:00,Røa,1–2,Lyn,255.0,Røabanen,Emilie Dokset,Match Report,
4,1.0,Sat,2018-03-24,17:00,Vålerenga,0–5,LSK Kvinner,783.0,Vålerenga kultur- og idrettspark kunstgr...,Marte Sørø,Match Report,
5,,,,,,,,,,,,
6,2.0,Wed,2018-03-28,19:00,Arna-Bjørnar,5–0,Grand Bodø,264.0,Vestlandshallen,Marte Sørø,Match Report,
7,2.0,Thu,2018-03-29,15:00,LSK Kvinner,6–0,Sandviken,322.0,LSK-hallen,Emilie Dokset,Match Report,
8,2.0,Sat,2018-03-31,15:00,Trondheims-Ørn,1–0,Stabæk,197.0,Utleira Kunstgress,Sarah Fatemeh Zangeneh,Match Report,
9,,,,,,,,,,,,
10,3.0,Sat,2018-04-14,14:00,Klepp,3–2,Lyn,227.0,Klepp Stadion,Ingvild Aarland,Match Report,
11,3.0,Sat,2018-04-14,15:00,Røa,2–5,LSK Kvinner,310.0,Røabanen,Marte Sørø,Match Report,
12,3.0,Sat,2018-04-14,15:00,Stabæk,2–2,Arna-Bjørnar,322.0,Nadderud Stadion,Henrikke Holm Nervik,Match Report,
13,3.0,Sun,2018-04-15,13:00,Sandviken,3–1,Trondheims-Ørn,365.0,Stemmemyren kunstgressbane,Malin Frantzen Øiseth,Match Report,
14,3.0,Sun,2018-04-15,14:00,Grand Bodø,0–1,Avaldsnes,245.0,Nordlandshallen,Emilie Dokset,Match Report,
15,3.0,Sun,2018-04-15,15:00,Vålerenga,2–3,Kolbotn,473.0,Vålerenga kultur- og idrettspark kunstgr...,Sarah Fatemeh Zangeneh,Match Report,
16,,,,,,,,,,,,
17,4.0,Sat,2018-04-21,13:00,Trondheims-Ørn,1–0,Røa,157.0,Utleira Kunstgress,Ingvild Aarland,Match Report,
18,4.0,Sat,2018-04-21,15:00,LSK Kvinner,1–0,Stabæk,460.0,LSK-hallen,Sarah Fatemeh Zangeneh,Match Report,
19,4.0,Sat,2018-04-21,15:00,Arna-Bjørnar,1–2,Sandviken,319.0,Arna Idrettspark,Emilie Dokset,Match Report,
20,4.0,Sun,2018-04-22,12:30,Klepp,6–0,Grand Bodø,304.0,Klepp Stadion,Henrikke Holm Nervik,Match Report,
21,4.0,Sun,2018-04-22,15:00,Avaldsnes,0–3,Vålerenga,163.0,Avaldsnes Idrettssenter,Marte Sørø,Match Report,
22,,,,,,,,,,,,
23,5.0,Sat,2018-04-28,15:00,Vålerenga,5–0,Stabæk,364.0,Vålerenga kultur- og idrettspark kunstgr...,Ingvild Aarland,Match Report,
24,5.0,Sat,2018-04-28,15:00,Sandviken,1–0,Avaldsnes,372.0,Stemmemyren kunstgressbane,Sarah Fatemeh Zangeneh,Match Report,
25,5.0,Sat,2018-04-28,15:00,Lyn,2–1,Arna-Bjørnar,280.0,Kringsjå Kunstgress,Marte Sørø,Match Report,
26,5.0,Sun,2018-04-29,14:00,Kolbotn,0–5,LSK Kvinner,243.0,KFUM Arena,Anders Gjermshus,Match Report,
