,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Arna-Bjørnar,20,21.9,,22,242,1980,22.0,52,,51,1,1,11,1,2.36,,,2.32,
1,Avaldsnes,25,24.0,,22,242,1980,22.0,24,,21,3,3,22,1,1.09,,,0.95,
2,Grand Bodø,23,23.4,,22,242,1980,22.0,19,,18,1,1,16,0,0.86,,,0.82,
3,Klepp,19,25.1,,22,242,1980,22.0,39,,37,2,2,12,0,1.77,,,1.68,
4,Kolbotn,21,21.2,,22,242,1980,22.0,34,,32,2,2,11,0,1.55,,,1.45,
5,LSK Kvinner,18,24.1,,22,242,1980,22.0,68,,64,4,4,6,0,3.09,,,2.91,
6,Lyn,23,19.8,,22,242,1980,22.0,26,,24,2,2,19,0,1.18,,,1.09,
7,Røa,23,22.7,,22,242,1980,22.0,40,,38,2,2,28,0,1.82,,,1.73,
8,Sandviken,24,26.4,,22,242,1980,22.0,40,,40,0,0,15,1,1.82,,,1.82,
9,Stabæk,26,23.6,,22,242,1980,22.0,29,,29,0,0,7,0,1.32,,,1.32,
10,Trondheims-Ørn,21,21.8,,22,242,1980,22.0,25,,24,1,1,15,1,1.14,,,1.09,
11,Vålerenga,26,25.6,,22,242,1980,22.0,36,,32,4,4,27,1,1.64,,,1.45,
