,Home,Score,Away
0,LSK Kvinner,4–3,Kolbotn
1,Sandviken,0–2,Røa
2,Klepp,1–0,Avaldsnes
3,Lyn,0–0,Fart
4,Trondheims-Ørn,0–0,Arna-Bjørnar
5,Vålerenga,1–0,Stabæk
7,Arna-Bjørnar,1–1,Lyn
8,Avaldsnes,1–1,LSK Kvinner
9,Røa,2–1,Trondheims-Ørn
10,Stabæk,0–2,Klepp
11,Fart,0–3,Sandviken
12,Kolbotn,1–2,Vålerenga
14,Klepp,1–0,Røa
15,Lyn,0–0,Kolbotn
16,Sandviken,3–0,Stabæk
17,Vålerenga,4–0,Fart
18,LSK Kvinner,3–1,Arna-Bjørnar
19,Trondheims-Ørn,1–1,Avaldsnes
21,Lyn,0–2,LSK Kvinner
23,Avaldsnes,2–2,Vålerenga
24,Arna-Bjørnar,1–0,Klepp
25,Kolbotn,3–2,Sandviken
26,Fart,0–4,LSK Kvinner
27,Stabæk,1–1,Trondheims-Ørn
28,Røa,2–3,Lyn
30,Lyn,2–0,Stabæk
31,Fart,2–3,Kolbotn
32,LSK Kvinner,1–1,Røa
33,Sandviken,6–4,Avaldsnes
34,Trondheims-Ørn,0–1,Klepp
35,Vålerenga,1–0,Arna-Bjørnar
37,Trondheims-Ørn,0–1,Vålerenga
38,Avaldsnes,3–3,Fart
39,LSK Kvinner,4–0,Stabæk
40,Arna-Bjørnar,1–2,Sandviken
41,Røa,1–2,Kolbotn
42,Klepp,1–0,Lyn
44,Kolbotn,3–1,Avaldsnes
45,Stabæk,0–2,Røa
46,Fart,1–3,Arna-Bjørnar
47,Sandviken,2–1,Klepp
48,Lyn,0–3,Trondheims-Ørn
49,Vålerenga,1–2,LSK Kvinner
51,LSK Kvinner,6–0,Lyn
52,Klepp,5–0,Vålerenga
53,Avaldsnes,4–0,Stabæk
54,Røa,5–0,Fart
55,Trondheims-Ørn,0–1,Sandviken
56,Arna-Bjørnar,1–3,Kolbotn
58,Fart,0–2,Trondheims-Ørn
59,Stabæk,0–1,Arna-Bjørnar
60,Vålerenga,0–1,Lyn
61,Kolbotn,0–0,Klepp
62,Sandviken,1–3,LSK Kvinner
63,Røa,2–2,Avaldsnes
65,Vålerenga,1–1,Sandviken
67,Avaldsnes,2–1,Arna-Bjørnar
68,Kolbotn,1–2,Trondheims-Ørn
69,Fart,1–0,Stabæk
70,LSK Kvinner,0–1,Klepp
71,Røa,2–6,Vålerenga
72,Sandviken,2–1,Lyn
74,Vålerenga,1–0,Kolbotn
75,Stabæk,0–0,Avaldsnes
76,Arna-Bjørnar,3–1,Fart
77,Trondheims-Ørn,0–1,Røa
78,Klepp,2–3,Sandviken
80,LSK Kvinner,2–0,Vålerenga
81,Kolbotn,0–2,Arna-Bjørnar
82,Fart,2–2,Lyn
83,Avaldsnes,1–3,Klepp
84,Røa,2–1,Stabæk
85,Sandviken,1–0,Trondheims-Ørn
87,Klepp,3–0,Kolbotn
88,Trondheims-Ørn,3–0,Fart
89,Avaldsnes,1–0,Røa
90,Stabæk,0–2,Sandviken
91,Lyn,1–2,Vålerenga
92,Arna-Bjørnar,1–3,LSK Kvinner
94,LSK Kvinner,2–0,Trondheims-Ørn
95,Vålerenga,4–0,Klepp
96,Fart,0–3,Avaldsnes
97,Arna-Bjørnar,2–2,Stabæk
98,Lyn,1–1,Sandviken
99,Kolbotn,4–4,Røa
101,Røa,6–1,Arna-Bjørnar
102,Sandviken,3–4,Vålerenga
103,Avaldsnes,2–1,Kolbotn
104,Stabæk,3–0,Fart
105,Trondheims-Ørn,1–1,Lyn
106,Klepp,1–1,LSK Kvinner
108,Lyn,2–3,Avaldsnes
109,Trondheims-Ørn,0–3,LSK Kvinner
110,Stabæk,2–0,Kolbotn
112,Lyn,2–1,Klepp
113,Vålerenga,3–1,Trondheims-Ørn
114,Fart,1–1,Røa
115,Arna-Bjørnar,0–2,Avaldsnes
116,Kolbotn,3–2,Stabæk
117,LSK Kvinner,2–0,Sandviken
119,Arna-Bjørnar,2–2,Røa
120,Klepp,4–0,Fart
122,Stabæk,1–3,Vålerenga
123,Avaldsnes,3–1,Lyn
124,Klepp,2–3,Trondheims-Ørn
125,Røa,0–1,LSK Kvinner
126,Sandviken,2–0,Arna-Bjørnar
128,Trondheims-Ørn,4–0,Kolbotn
129,LSK Kvinner,2–1,Avaldsnes
130,Klepp,5–0,Stabæk
131,Vålerenga,1–1,Røa
132,Sandviken,2–0,Fart
133,Lyn,4–5,Arna-Bjørnar
135,Kolbotn,4–0,Fart
137,Avaldsnes,3–2,Sandviken
138,Stabæk,1–0,Lyn
139,Røa,1–4,Klepp
140,Fart,0–1,Vålerenga
141,Arna-Bjørnar,0–0,Trondheims-Ørn
142,Kolbotn,2–2,LSK Kvinner
144,Sandviken,2–2,Kolbotn
145,Klepp,4–0,Arna-Bjørnar
146,Lyn,1–1,Røa
147,Trondheims-Ørn,3–1,Stabæk
148,LSK Kvinner,1–2,Fart
149,Vålerenga,1–1,Avaldsnes
151,Avaldsnes,0–1,Trondheims-Ørn
152,Røa,2–2,Sandviken
153,Stabæk,2–2,LSK Kvinner
154,Kolbotn,0–0,Lyn
155,Arna-Bjørnar,0–2,Vålerenga
156,Fart,1–6,Klepp
158,IF Fløya,0–5,Lyn
159,Lyn,2–1,IF Fløya
