,Rk,Squad,W,D,L,GD,Pts,Top Team Scorer,Goalkeeper
0,1,LSK Kvinner,19,2,1,50,59,Guro Reiten - 18,Cecilie Fiskerstrand
1,2,Avaldsnes,15,3,4,34,48,"Cecilie Pedersen, Elise Thorsnes - 11",Katie Fraine
2,3,Stabæk,13,4,5,23,43,Melissa Bjånesøy - 11,Ingrid Hjelmseth
3,4,Klepp,12,4,6,10,40,Tameka Butt - 14,Oda Bogstad
4,5,Røa,11,4,7,14,37,Lisa-Marie Karlseng Utland - 17,Kirvil Schau Odden
5,6,Arna-Bjørnar,9,8,5,11,35,Josée Nahi - 7,Alyssa Giannetti
6,7,Vålerenga,10,4,8,5,34,"Elise Krieghoff, Maren Hauge - 7",Michelle Betos
7,8,Trondheims-Ørn,8,6,8,0,30,Rakel Engesvik - 8,Kristine Nøstmo
8,9,Sandviken,4,6,12,-11,18,Sofie Jensen - 6,Nora Neset Gjøen
9,10,Kolbotn,4,3,15,-26,15,Juliette Kemppi - 5,Aurora Mikalsen
10,11,Grand Bodø,2,2,18,-50,8,Anne-Marthe Birkeland - 11,Siiri Välimaa
11,12,Medkila,1,2,19,-60,5,Anja Rasmussen - 3,Megan Kufeld
0,1,LSK Kvinner,20,1,1,56,61,Guro Reiten - 21,Cecilie Fiskerstrand
1,2,Klepp,15,3,4,18,48,Hege Hansen - 10,Lindsey Harris
2,3,Arna-Bjørnar,11,6,5,27,39,Maria Brochmann - 15,Mackenzie Arnold
3,4,Sandviken,11,6,5,13,39,Ajara Nchout - 15,Nora Neset Gjøen
4,5,Kolbotn,11,6,5,-1,39,Karina Sævik - 9,Aurora Mikalsen
5,6,Vålerenga,10,3,9,2,33,Sherida Spitse - 9,Guro Pettersen
6,7,Røa,10,2,10,0,32,Svava Rós Guðmundsdóttir - 14,Kirvil Schau Odden
7,8,Stabæk,7,2,13,-8,23,Melissa Bjånesøy - 9,Ingrid Hjelmseth
8,9,Avaldsnes,5,6,11,-14,21,"Meryll Abrahamsen, Luana - 5",Line Geltzer Johansen
9,10,Trondheims-Ørn,4,6,12,-23,18,Julie Adserø - 10,Kristine Nøstmo
10,11,Lyn,3,3,16,-29,12,Linn Huseby - 9,Oda Bogstad
11,12,Grand Bodø,2,2,18,-41,8,Vilde Fjelldal - 5,Siiri Välimaa
0,1,LSK Kvinner,15,5,2,33,50,"Guro Reiten, Elise Thorsnes - 12",Cecilie Fiskerstrand
1,2,Vålerenga,14,4,4,17,46,"Natasha Dowie, Ajara Nchout - 11",Hannah Seabert
2,3,Klepp,14,2,6,29,44,"Havana Solaun, Tameka Butt - 10",Lindsey Harris
3,4,Sandviken,12,4,6,11,40,Kennya Cordner - 17,Nora Neset Gjøen
4,5,Avaldsnes,9,7,6,7,34,Giovanna - 9,Victoria Esson
5,6,Røa,7,8,7,5,29,Synne Jensen - 16,Kirvil Schau Odden
6,7,Trondheims-Ørn,8,5,9,4,29,Marit Clausen - 9,Kristine Nøstmo
7,8,Kolbotn,7,6,9,-4,27,Isabell Herlovsen - 8,Aurora Mikalsen
8,9,Arna-Bjørnar,6,5,11,-15,23,Milica Mijatović - 7,Oda Bogstad
9,10,Lyn,4,8,10,-14,20,Runa Lillegård - 10,Karen Oline Sneve
10,11,Stabæk,3,4,15,-27,13,Melissa Bjånesøy - 9,Ingrid Hjelmseth
11,12,Fart,2,4,16,-46,10,Julie Blakstad - 4,Lena Lauve
